xlong,ylat,collision
-99.787033,36.501724,0.0
-99.725624,36.437126,0.0
-99.769722,36.444931,0.0
-99.80706,36.513935,0.0
-99.758476,36.444984,0.0
-99.772133,36.431931,0.0
-99.740372,36.489838,0.0
-99.810005,36.476582,0.0
-99.762489,36.454903,0.0
-99.761673,36.502792,0.0
-99.776581,36.485386,0.0
-99.724426,36.491375,0.0
-99.714981,36.490211,0.0
-99.70752,36.490849,0.0
-99.760849,36.429668,0.0
-99.745461,36.448009,0.0
-99.733009,36.489468,0.0
-99.750793,36.488712,0.0
-99.814697,36.48975,0.0
-99.742203,36.432888,0.0
-99.737236,36.498882,0.0
-99.741096,36.423683,0.0
-99.781944,36.433651,0.0
-99.796494,36.503357,0.0
-99.733086,36.451591,0.0
-99.775742,36.445465,0.0
-99.724144,36.421703,0.0
-99.786308,36.44593,0.0
-99.737022,36.435909,0.0
-99.776512,36.429882,0.0
-99.741119,36.50259,0.0
-99.735718,36.423359,0.0
-99.762627,36.515823,0.0
-99.74147,36.451477,0.0
-99.804855,36.476624,0.0
-99.792625,36.474033,0.0
-99.788475,36.476807,0.0
-99.799377,36.440704,0.0
-99.79464,36.438831,0.0
-99.756958,36.491249,0.0
-99.790665,36.44141,0.0
-99.720284,36.424934,0.0
-99.714928,36.424843,0.0
-99.782089,36.473541,0.0
-99.821129,36.517494,0.0
-99.744316,36.513348,0.0
-99.731606,36.44109,0.0
-99.778603,36.502522,0.0
-99.782372,36.484463,0.0
-99.826469,36.515972,0.0
-99.751343,36.446674,0.0
-99.752548,36.428902,0.0
-99.775963,36.458096,0.0
-99.764076,36.440956,0.0
-99.812325,36.513859,0.0
-99.809586,36.495914,0.0
-99.752739,36.504105,0.0
-99.771027,36.456665,0.0
-99.720001,36.489346,0.0
-99.746208,36.427345,0.0
-118.364197,35.077644,0.0
-118.363762,35.077908,0.0
-118.36441,35.077435,0.0
-93.518082,42.01363,0.0
-93.632835,41.882477,0.0
-93.523651,42.006813,0.0
-93.623009,41.88147,0.0
-93.700424,41.977608,0.0
-93.430367,42.028233,0.0
-92.672089,41.742046,0.0
-93.51371,42.019119,0.0
-93.515892,42.016373,0.0
-93.367798,42.49794,0.0
-70.541801,41.752491,0.0
-70.545303,41.754192,0.0
-70.547798,41.75959,0.0
-70.545303,41.757591,0.0
-93.325691,42.20639,0.0
-93.428093,42.146091,0.0
-93.431992,42.145592,0.0
-93.354897,41.904194,0.0
-93.632095,42.335491,0.0
-93.636795,42.335491,0.0
-83.736298,41.382492,0.0
-83.736298,41.384693,0.0
-94.65139,41.421494,0.0
-94.707893,41.470394,0.0
-94.685692,41.471092,0.0
-94.683395,41.484993,0.0
-94.673988,41.494892,0.0
-94.695091,41.457893,0.0
-94.68869,41.486591,0.0
-94.61039,41.441395,0.0
-94.692795,41.499294,0.0
-94.706894,41.440792,0.0
-94.687691,41.445091,0.0
-94.659096,41.466694,0.0
-94.674889,41.423492,0.0
-94.68409,41.443592,0.0
-94.68869,41.499294,0.0
-94.665192,41.452293,0.0
-94.670395,41.434994,0.0
-94.618591,41.466793,0.0
-94.69899,41.457794,0.0
-94.723892,41.463192,0.0
-94.611893,41.452892,0.0
-94.658493,41.433193,0.0
-94.62249,41.466595,0.0
-94.669289,41.452293,0.0
-94.634491,41.439693,0.0
-94.666992,41.482494,0.0
-94.676788,41.452393,0.0
-94.677391,41.463093,0.0
-94.689392,41.470192,0.0
-94.71209,41.468391,0.0
-94.652596,41.455894,0.0
-94.613396,41.467094,0.0
-94.665092,41.423695,0.0
-94.703896,41.499695,0.0
-94.688995,41.435894,0.0
-94.726593,41.442894,0.0
-94.63839,41.439693,0.0
-94.655289,41.466293,0.0
-94.647896,41.465393,0.0
-94.612091,41.478592,0.0
-94.67009,41.495193,0.0
-94.619591,41.451992,0.0
-94.654495,41.432995,0.0
-94.683502,41.433804,0.0
-94.674194,41.434193,0.0
-94.614189,41.441395,0.0
-94.673492,41.463093,0.0
-94.630989,41.481194,0.0
-94.692696,41.434994,0.0
-94.670593,41.423992,0.0
-94.647491,41.443691,0.0
-94.615791,41.452694,0.0
-94.660995,41.421093,0.0
-94.715591,41.441792,0.0
-94.704094,41.471092,0.0
-94.696693,41.499092,0.0
-94.716591,41.469791,0.0
-94.722794,41.443394,0.0
-94.622093,41.441994,0.0
-94.695595,41.445194,0.0
-94.730293,41.442394,0.0
-94.618294,41.441593,0.0
-94.678894,41.443993,0.0
-94.676994,41.473293,0.0
-94.711792,41.441292,0.0
-94.606728,41.441357,0.0
-94.681793,41.471592,0.0
-94.635391,41.449795,0.0
-94.691689,41.445091,0.0
-94.659866,41.457573,0.0
-94.655891,41.421394,0.0
-94.655891,41.457294,0.0
-94.648689,41.455395,0.0
-94.630692,41.439194,0.0
-94.665695,41.470993,0.0
-94.626991,41.481194,0.0
-94.686043,40.907246,0.0
-94.697762,40.927402,0.0
-94.671776,40.91991,0.0
-94.649178,40.947777,0.0
-94.734169,40.903179,0.0
-94.724846,40.906811,0.0
-94.72422,40.91663,0.0
-94.662544,40.91256,0.0
-94.664101,40.952431,0.0
-94.664093,40.931583,0.0
-94.647606,40.912476,0.0
-94.725616,40.925251,0.0
-94.639961,40.918289,0.0
-94.678551,40.951794,0.0
-94.665192,40.902493,0.0
-94.716476,40.913757,0.0
-94.669571,40.902508,0.0
-94.659653,40.925396,0.0
-94.712288,40.912891,0.0
-94.705017,40.916325,0.0
-94.673912,40.955795,0.0
-94.713112,40.929382,0.0
-94.664482,40.9258,0.0
-94.728653,40.905937,0.0
-94.695923,40.901394,0.0
-94.66095,40.906422,0.0
-94.657524,40.913597,0.0
-94.712463,40.923447,0.0
-94.649925,40.917538,0.0
-94.667892,40.919884,0.0
-94.634834,40.90395,0.0
-94.728088,40.916672,0.0
-94.697464,40.908005,0.0
-94.616638,40.913837,0.0
-94.721962,40.927204,0.0
-94.65696,40.905529,0.0
-94.615784,40.906044,0.0
-94.716339,40.92387,0.0
-94.668625,40.956329,0.0
-94.675438,40.933098,0.0
-94.653526,40.913605,0.0
-94.732185,40.917294,0.0
-94.684853,40.925648,0.0
-94.652222,40.935997,0.0
-94.634842,40.919724,0.0
-94.646027,40.917538,0.0
-94.63047,40.912823,0.0
-94.693481,40.912636,0.0
-94.68866,40.930119,0.0
-94.692009,40.902283,0.0
-94.635033,40.914024,0.0
-94.619675,40.905975,0.0
-94.675087,40.938133,0.0
-94.625618,40.912842,0.0
-94.65287,40.903233,0.0
-94.640137,40.903938,0.0
-94.70916,40.929955,0.0
-94.693748,40.927402,0.0
-94.68663,40.934555,0.0
-94.656776,40.95903,0.0
-94.653526,40.960594,0.0
-94.656937,40.936432,0.0
-94.648247,40.903282,0.0
-94.666534,40.912037,0.0
-94.731689,44.916992,0.0
-94.735695,44.916992,0.0
-94.711288,44.911694,0.0
-94.729294,44.912594,0.0
-94.710396,44.916992,0.0
-94.727394,44.916992,0.0
-94.71479,44.916992,0.0
-94.732491,44.912594,0.0
-94.715195,44.911694,0.0
-94.718994,44.916691,0.0
-94.735695,44.912594,0.0
-94.72319,44.916992,0.0
-96.435493,47.005192,0.0
-96.435493,46.999592,0.0
-96.427513,47.005146,0.0
-89.618896,41.297791,0.0
-89.619392,41.302994,0.0
-89.614494,41.300793,0.0
-89.623596,41.301693,0.0
-99.941193,42.469292,0.0
-99.913094,42.455193,0.0
-99.900894,42.453094,0.0
-99.946594,42.471394,0.0
-99.928093,42.461792,0.0
-99.892891,42.450191,0.0
-99.907089,42.474892,0.0
-99.927292,42.458591,0.0
-99.928993,42.445492,0.0
-99.931892,42.447094,0.0
-99.897987,42.452393,0.0
-99.948494,42.473392,0.0
-99.874878,42.459457,0.0
-99.924194,42.458591,0.0
-99.918488,42.456692,0.0
-99.895187,42.443192,0.0
-99.91069,42.453094,0.0
-99.921188,42.457993,0.0
-99.934288,42.447792,0.0
-99.915894,42.475891,0.0
-99.938988,42.467995,0.0
-99.95079,42.474995,0.0
-99.918793,42.475193,0.0
-99.912994,42.475193,0.0
-99.89006,42.461864,0.0
-99.88089,42.461891,0.0
-99.910561,42.475048,0.0
-99.886993,42.461494,0.0
-99.895393,42.451393,0.0
-99.943687,42.470493,0.0
-99.915894,42.455593,0.0
-99.883965,42.461147,0.0
-99.921791,42.474491,0.0
-99.926491,42.444492,0.0
-99.892693,42.462791,0.0
-99.877426,42.460644,0.0
-70.591103,41.657692,0.0
-104.884689,41.178291,0.0
-96.541191,42.829891,0.0
-99.541283,38.41523,0.0
-99.546196,38.456131,0.0
-99.545891,38.414215,0.0
-99.563507,38.404118,0.0
-99.55925,38.40461,0.0
-99.536957,38.45303,0.0
-99.499413,38.438683,0.0
-99.568794,38.415268,0.0
-99.502907,38.430729,0.0
-99.507919,38.42691,0.0
-99.527588,38.423698,0.0
-99.522804,38.450176,0.0
-99.537079,38.4296,0.0
-99.541664,38.453705,0.0
-99.527443,38.450241,0.0
-99.532265,38.426769,0.0
-99.532227,38.453072,0.0
-99.564278,38.412891,0.0
-99.542793,38.435001,0.0
-99.521271,38.420261,0.0
-99.495369,38.441833,0.0
-118.343689,35.031494,0.0
-118.345291,35.035194,0.0
-118.339989,35.035995,0.0
-118.338486,35.036594,0.0
-118.344887,35.030895,0.0
-118.344086,35.035896,0.0
-118.335289,35.037697,0.0
-118.336891,35.037193,0.0
-78.600395,40.374893,0.0
-78.615799,40.340794,0.0
-78.616798,40.347092,0.0
-78.587395,40.394493,0.0
-78.555099,40.388092,0.0
-78.584198,40.390892,0.0
-78.616096,40.338192,0.0
-78.627296,40.372791,0.0
-78.5812,40.37569,0.0
-78.633591,40.373264,0.0
-78.622795,40.376591,0.0
-78.558197,40.413994,0.0
-78.568001,40.401791,0.0
-78.631393,40.375092,0.0
-78.569794,40.39949,0.0
-78.532898,40.440693,0.0
-78.621201,40.381592,0.0
-78.592796,40.360291,0.0
-78.587296,40.389294,0.0
-78.5709,40.375294,0.0
-78.547195,40.395191,0.0
-78.5728,40.397491,0.0
-78.549095,40.393494,0.0
-78.565201,40.406593,0.0
-78.602898,40.37059,0.0
-78.576195,40.375393,0.0
-78.596001,40.354691,0.0
-78.59288,40.356571,0.0
-78.528206,40.437164,0.0
-78.542099,40.448292,0.0
-78.564247,40.375473,0.0
-78.568001,40.405293,0.0
-78.585693,40.396191,0.0
-78.616394,40.382492,0.0
-78.554695,40.390491,0.0
-78.623299,40.374092,0.0
-78.546394,40.39719,0.0
-78.579498,40.384991,0.0
-78.552498,40.392292,0.0
-78.563995,40.377792,0.0
-78.623199,40.379593,0.0
