Animal_Species,Location_Timestamp_UTC,Latitude,Longitude
Larus,2016/06/09 23:35:23,60.452,-151.108
Larus,2016/06/09 23:48:32,60.331,-151.084
Larus,2016/06/11 19:01:44,60.652,-151.174
Larus,2016/06/11 19:35:02,60.543,-151.218
Larus,2016/06/11 20:06:48,60.552,-151.218
Larus,2016/06/11 20:11:51,60.549,-151.219
Larus,2016/06/11 20:24:02,60.545,-151.234
Larus,2016/06/11 20:36:26,60.545,-151.234
Larus,2016/06/11 21:12:49,60.548,-151.24
Larus,2016/06/11 21:48:39,60.538,-151.245
Larus,2016/06/11 21:59:41,60.546,-151.236
Larus,2016/06/11 22:19:48,60.547,-151.238
Larus,2016/06/11 23:00:08,60.532,-151.256
Larus,2016/06/11 23:24:48,60.539,-151.253
Larus,2016/06/11 23:26:49,60.548,-151.211
Larus,2016/06/11 23:47:31,60.551,-151.198
Larus,2016/06/11 23:50:01,60.837,-151.818
Larus,2016/06/13 19:15:23,60.445,-151.11
Larus,2016/06/13 19:41:05,60.445,-151.109
Larus,2016/06/13 19:43:32,60.441,-151.115
Larus,2016/06/13 20:10:51,60.444,-151.107
Larus,2016/06/13 20:38:04,60.431,-151.036
Larus,2016/06/13 20:53:13,60.427,-151.044
Larus,2016/06/13 21:22:57,60.424,-151.209
Larus,2016/06/13 21:23:40,60.444,-151.108
Larus,2016/06/13 21:49:40,60.444,-151.096
Larus,2016/06/13 22:13:40,60.446,-151.095
Larus,2016/06/13 22:33:47,60.456,-151.106
Larus,2016/06/13 22:57:03,60.459,-151.112
Larus,2016/06/13 23:07:08,60.44,-151.091
Larus,2016/06/13 23:28:16,60.441,-151.107
Larus,2016/06/15 18:57:03,60.544,-151.244
Larus,2016/06/15 19:20:18,60.547,-151.231
Larus,2016/06/15 19:50:34,60.499,-151.194
Larus,2016/06/15 19:54:45,60.55,-151.26
Larus,2016/06/15 20:04:41,60.556,-151.255
Larus,2016/06/15 20:41:39,60.541,-151.216
Larus,2016/06/15 21:01:34,60.596,-151.288
Larus,2016/06/15 21:26:52,60.536,-151.246
Larus,2016/06/15 21:29:53,60.536,-151.221
Larus,2016/06/15 22:25:30,60.543,-151.243
Larus,2016/06/15 22:39:50,60.542,-151.243
Larus,2016/06/15 23:10:22,60.545,-151.229
